    Subject           Activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z
1         2            WALKING         0.2764266      -0.018594920       -0.10550036
2         2   WALKING_UPSTAIRS         0.2471648      -0.021412113       -0.15251390
3         2 WALKING_DOWNSTAIRS         0.2776153      -0.022661416       -0.11681294
4         2            SITTING         0.2770874      -0.015687994       -0.10921827
5         2           STANDING         0.2779115      -0.018420827       -0.10590854
6         2             LAYING         0.2813734      -0.018158740       -0.10724561
7         4            WALKING         0.2785820      -0.014839948       -0.11140306
8         4   WALKING_UPSTAIRS         0.2708767      -0.031980430       -0.11421946
9         4 WALKING_DOWNSTAIRS         0.2799653      -0.009802009       -0.10677752
10        4            SITTING         0.2715383      -0.007163065       -0.10587460
11        4           STANDING         0.2804997      -0.009489111       -0.09615749
12        4             LAYING         0.2635592      -0.015003184       -0.11068815
13        9            WALKING         0.2785028      -0.018089197       -0.11082051
14        9   WALKING_UPSTAIRS         0.2624365      -0.019510110       -0.12521900
15        9 WALKING_DOWNSTAIRS         0.2959234      -0.020399427       -0.09102788
16        9            SITTING         0.2483267      -0.027016777       -0.07537847
17        9           STANDING         0.2823101      -0.020045495       -0.09527475
18        9             LAYING         0.2591955      -0.020526822       -0.10754972
19       10            WALKING         0.2785741      -0.017022351       -0.10905751
20       10   WALKING_UPSTAIRS         0.2671219      -0.014385492       -0.11818042
21       10 WALKING_DOWNSTAIRS         0.2904016      -0.020005077       -0.11084860
22       10            SITTING         0.2706121      -0.015042682       -0.10425324
23       10           STANDING         0.2766503      -0.015541860       -0.10796408
24       10             LAYING         0.2802306      -0.024294484       -0.11716864
25       12            WALKING         0.2771287      -0.015560928       -0.10316111
26       12   WALKING_UPSTAIRS         0.2729703      -0.026357490       -0.10733973
27       12 WALKING_DOWNSTAIRS         0.2815211      -0.018084267       -0.10955593
28       12            SITTING         0.2750072      -0.015789299       -0.10630723
29       12           STANDING         0.2774058      -0.016900254       -0.10552700
30       12             LAYING         0.2601134      -0.017520392       -0.10816013
31       13            WALKING         0.2758831      -0.018566065       -0.11143146
32       13   WALKING_UPSTAIRS         0.2582039      -0.027739225       -0.12576727
33       13 WALKING_DOWNSTAIRS         0.2949076      -0.014372384       -0.10199394
34       13            SITTING         0.2743285      -0.005877329       -0.09724651
35       13           STANDING         0.2777584      -0.016789199       -0.11212414
36       13             LAYING         0.2767164      -0.020440454       -0.10433186
37       18            WALKING         0.2738878      -0.017802363       -0.10421832
38       18   WALKING_UPSTAIRS         0.2654012      -0.022206068       -0.11265589
39       18 WALKING_DOWNSTAIRS         0.2884395      -0.016866692       -0.10339081
40       18            SITTING         0.2772700      -0.012869128       -0.11190478
41       18           STANDING         0.2784588      -0.016635352       -0.10845336
42       18             LAYING         0.2746916      -0.017393768       -0.10769893
43       20            WALKING         0.2725893      -0.021199992       -0.11353948
44       20   WALKING_UPSTAIRS         0.2520983      -0.028225805       -0.12102395
45       20 WALKING_DOWNSTAIRS         0.2961444      -0.009641208       -0.10460293
46       20            SITTING         0.2780454      -0.014722931       -0.10836963
47       20           STANDING         0.2780769      -0.018069505       -0.10040276
48       20             LAYING         0.2395079      -0.014440628       -0.10427432
49       24            WALKING         0.2769808      -0.022544640       -0.11059595
50       24   WALKING_UPSTAIRS         0.2698811      -0.025197943       -0.11424861
51       24 WALKING_DOWNSTAIRS         0.2886312      -0.014573035       -0.10481882
52       24            SITTING         0.2734757      -0.013125510       -0.10304106
53       24           STANDING         0.2803489      -0.014478534       -0.10822255
54       24             LAYING         0.2728505      -0.017355521       -0.10723624
55        1            WALKING         0.2773308      -0.017383819       -0.11114810
56        1   WALKING_UPSTAIRS         0.2554617      -0.023953149       -0.09730200
57        1 WALKING_DOWNSTAIRS         0.2891883      -0.009918505       -0.10756619
58        1            SITTING         0.2612376      -0.001308288       -0.10454418
59        1           STANDING         0.2789176      -0.016137590       -0.11060182
60        1             LAYING         0.2215982      -0.040513953       -0.11320355
61        3            WALKING         0.2755675      -0.017176784       -0.11267486
62        3   WALKING_UPSTAIRS         0.2608199      -0.032410941       -0.11006486
63        3 WALKING_DOWNSTAIRS         0.2924235      -0.019355408       -0.11613984
64        3            SITTING         0.2571976      -0.003502998       -0.09835792
65        3           STANDING         0.2800465      -0.014337656       -0.10162172
66        3             LAYING         0.2755169      -0.018955679       -0.10130048
67        5            WALKING         0.2778423      -0.017285032       -0.10774178
68        5   WALKING_UPSTAIRS         0.2684595      -0.032526976       -0.10747145
69        5 WALKING_DOWNSTAIRS         0.2935439      -0.008501075       -0.10031993
70        5            SITTING         0.2736941      -0.009900835       -0.10854030
71        5           STANDING         0.2825444      -0.007004186       -0.10217110
72        5             LAYING         0.2783343      -0.018304212       -0.10793760
73        6            WALKING         0.2836589      -0.016895419       -0.11030317
74        6   WALKING_UPSTAIRS         0.2682294      -0.027242539       -0.12208244
75        6 WALKING_DOWNSTAIRS         0.2770453      -0.019536840       -0.10720936
76        6            SITTING         0.2767785      -0.014591162       -0.11012773
77        6           STANDING         0.2803462      -0.018123633       -0.11217283
78        6             LAYING         0.2486565      -0.010252917       -0.13311957
79        7            WALKING         0.2755930      -0.018653665       -0.11091223
80        7   WALKING_UPSTAIRS         0.2487069      -0.027563901       -0.14376969
81        7 WALKING_DOWNSTAIRS         0.2803071      -0.016633237       -0.09693831
82        7            SITTING         0.2846746      -0.014610976       -0.12246460
83        7           STANDING         0.2827235      -0.014574034       -0.09977783
84        7             LAYING         0.2501767      -0.020441152       -0.10136104
85        8            WALKING         0.2746863      -0.018662887       -0.10725209
86        8   WALKING_UPSTAIRS         0.2588802      -0.028241514       -0.11512212
87        8 WALKING_DOWNSTAIRS         0.2834841      -0.021105867       -0.10759814
88        8            SITTING         0.2674915      -0.006725506       -0.10446105
89        8           STANDING         0.2796210      -0.014811307       -0.10611500
90        8             LAYING         0.2612543      -0.021228173       -0.10224537
91       11            WALKING         0.2718219      -0.016647583       -0.10609630
92       11   WALKING_UPSTAIRS         0.2637759      -0.030315782       -0.10679722
93       11 WALKING_DOWNSTAIRS         0.2916056      -0.017809772       -0.11107015
94       11            SITTING         0.2765902      -0.014919562       -0.11284022
95       11           STANDING         0.2777156      -0.017199089       -0.10868663
96       11             LAYING         0.2805930      -0.017659805       -0.10878658
97       14            WALKING         0.2719596      -0.021778538       -0.10675637
98       14   WALKING_UPSTAIRS         0.2624211      -0.020438818       -0.11227969
99       14 WALKING_DOWNSTAIRS         0.2934221      -0.020014141       -0.09283302
100      14            SITTING         0.2799906      -0.008705655       -0.10040149
101      14           STANDING         0.2805456      -0.015207813       -0.10381770
102      14             LAYING         0.2332754      -0.011342465       -0.08683333
103      15            WALKING         0.2738992      -0.017080974       -0.10762182
104      15   WALKING_UPSTAIRS         0.2701876      -0.028752386       -0.11695246
105      15 WALKING_DOWNSTAIRS         0.2801989      -0.005630478       -0.11052607
106      15            SITTING         0.2729034      -0.011718847       -0.11366125
107      15           STANDING         0.2789158      -0.018351636       -0.10591083
108      15             LAYING         0.2894757      -0.016629654       -0.11853024
109      16            WALKING         0.2760236      -0.020428693       -0.10880405
110      16   WALKING_UPSTAIRS         0.2559861      -0.014365495       -0.12407452
111      16 WALKING_DOWNSTAIRS         0.2955868      -0.018389858       -0.11987371
112      16            SITTING         0.2807686      -0.010249794       -0.08914040
113      16           STANDING         0.2834974      -0.016599967       -0.10365773
114      16             LAYING         0.2742272      -0.016610351       -0.10731049
115      17            WALKING         0.2723419      -0.018487540       -0.10979212
